date,hour_id,number_of_cells,cell_availability,sssr,s1_conn_est_success_rate,sarr,ul_packet_loss_rate,dl_packet_loss_rate,dl_uu_latency,dl_prb_utilization,ul_prb_utilization,dl_pdcp_user_throughput,ul_pdcp_user_throughput,cqi_avg,pmrrcconnmax,rrc_connected_users,rrc_connected_users_sum,cell_pdcp_dl_thp_mbps,cell_pdcp_ul_thp_mbps,dl_volume_gb,ul_volume_gb,cbra_success_rate,cbra_sr_2020,cfra_success_rate,rrc_setup_success_rate,erab_setup_success_rate,dl_qpsk_dist,dl_16qam_dist,dl_64qam_dist,dl_256qam_dist,ca_dl_pdcp_eu_thp,lte_active_user_dl,lte_active_user_ul,ca_dl_traffic_volume,pmcelldowntimeauto,pmcelldowntimeman,pmrrcconnestabsucc,pmrrcconnestabatt,pmrrcconnestabattreatt,pms1sigconnestabsucc,pms1sigconnestabatt,pmerabestabsuccinit,pmerabestabattinit,pmerabrelabnormalenbact,pmerabrelabnormalmmeact,pmerabrelabnormalenb,pmerabrelnormalenb,pmerabrelmme,pmpdcppktlostul,pmpdcppktreceivedul,pmpdcppktdiscdlpelr,pmpdcppktdiscdlho,pmpdcppktdiscdlpelruu,pmpdcppkttransdl,pmpdcplattimedl,pmpdcplatpkttransdl,pmprbuseddlfirsttrans,pmprbuseddlretrans,pmprbavaildl,pmprbuseduldtch,pmprbavailul,pmpdcpvoldldrb,pmpdcpvoldldrblasttti,pmuethptimedl,pmuethpvolul,pmuethptimeul,pmrrcconnlevsum,pmrrcconnlevsamp,pmschedactivitycelldl,pmpdcpvoluldrb,pmschedactivitycellul,pmpdcpvoldlsrb,pmpdcpvolulsrb,pmrasucccbra,pmraattcbra,pmrasucccfra,pmraattcfra,pmracontresonly,pmracontresandrrcrsp,pmrrcconnestabfaillic,pmcacapabledlsamp,pmcaconfigureddlsamp,pmpdcpvoldldrbca,pmpdcpvoldldrblastttica,pmradiothpvoldl,pmradiothpvoldlscell,pmradiothpvoldlscellext,pmuethptimedlca,pmuethptimeulca,pmuethpvolulca,pmlbsubratiosamp,pmuectxtrelscwcdma,pmcriticalborderevalreport,pmmacharqdlackqpsk,pmmacharqdlack16qam,pmmacharqdlack64qam,pmmacharqdlack256qam,pmactiveuedlsum,pmactiveueulsum,pmradiouerepcqidistr_0,pmradiouerepcqidistr_1,pmradiouerepcqidistr_2,pmradiouerepcqidistr_3,pmradiouerepcqidistr_4,pmradiouerepcqidistr_5,pmradiouerepcqidistr_6,pmradiouerepcqidistr_7,pmradiouerepcqidistr_8,pmradiouerepcqidistr_9,pmradiouerepcqidistr_10,pmradiouerepcqidistr_11,pmradiouerepcqidistr_12,pmradiouerepcqidistr_13,pmradiouerepcqidistr_14,pmradiouerepcqidistr_15,hosr_intraf,hosr_interf,pmhoexeattlteinterf,pmhoexeattlteinterflb,pmhoexeattlteintraf,pmhoexesucclteinterf,pmhoexesucclteinterflb,pmhoexesucclteintraf,pmhooscinterf,pmhooscintraf,pmhoprepattlteinterf,pmhoprepattlteinterflb,pmhoprepattlteintraf,pmhoprepsucclteinterf,pmhoprepsucclteinterflb,pmhoprepsucclteintraf,pmlbmeasrepue,pmlbqualifiedue,pmlbtpacceptedue,pmlbtpevalue,pmlbtpulacceptedue,pmhotooearlyhointerf,pmhotooearlyhointraf,pmhotoolatehointerf,pmhotoolatehointraf,pmhowrongcellinterf,pmhowrongcellintraf,pmhowrongcellreestinterf,pmhowrongcellreestintraf,pmcaredirectmeasrepue,pmcaredirectqualifiedue,pmhoexeattnonmob,pmhoexecattlteinterfcaredirect,pmhoexecsucclteinterfcaredirect,pmhoexesuccnonmob,pmhoprepattlteinterfcaredirect,pmhoprepattnonmob,pmhoprepsucclteinterfcaredirect,pmhoprepsuccnonmob,hosr_irat,pmhoexeattwcdma,pmhoexesuccwcdma,pmhoprepattwcdma,pmhoprepsuccwcdma,cqi_above_7,cqi_above_10,rssi,sinr_pusch,sinr_pucch,tx_rank,ue_rep_rank2,traffic_voice_2g,traffic_voice_3g,payload_dl_3g,payload_ul_3g,payload_total_3g,payload_total_4g
4/1/2020,0,53679,98.28426781,99.48593403,99.73320692,0.121547269,0.029861155,0.032613264,3.883604061,31.2037081,4.65193699,5.397204509,0.474981549,9.188367928,1709,29.49750814,1566511.041,15.58892144,1.327747465,142393.8066,10945.37361,75.89110242,,86.9258106,99.84093754,99.91098651,42.78343195,29.35853728,27.24741076,0.610620012,10.41093262,3.806633646,2.822413437,10695.4834,2502763,764909,189991745,190859363,564931,189182127,189688202,177907774,178066277,213208,3881,684255,174794014,3126320,20004062,66970243909,919493,15676879,24960643,1.27382E+11,98112009176,25263133840,3.61259E+12,6.46338E+11,1.36488E+13,6.34933E+11,1.36488E+13,1.13892E+12,2.20192E+11,1.70222E+11,28099737869,59159640907,1109841207,37624914,73059336237,87267932809,65726303457,234199414,295056085,277784294,366030121,60578640,69690049,,,457,32600332,32600332,85563867170,14113753981,1.15765E+12,27314411729,0,6862988728,1749380,671558,11324116,833483,2690775,63081515627,43287341485,40174616419,900321318,2.7811E+11,1.85507E+11,66168952,97592457,197586527,494409324,1456593457,3150904316,6151368081,5836381228,7244768407,7907672530,6683015655,6863255198,6294749614,4846354800,3137521807,,95.03572494,98.02742699,783577,378149,2612887,778136,377691,2564390,6109,418300,793781,378219,2698306,783564,378142,2612851,1170711,1161986,,,,1862,16255,9409,47475,,11343,,9918,12410,12290,383803,5654,5627,383318,5675,383894,5654,383796,,0,0,0,0,0.807795106,0.460461035,-115.7413532,11.70593842,2.063943136,0.398859353,0.46032861,8781.575553,32430.62778,19757.25246,2087.978333,21845.23079,
4/1/2020,1,53671,98.35046145,99.60309051,99.7949068,0.083835932,0.028948482,0.028796914,3.554880116,24.80836156,3.368627408,8.121759115,0.545482441,9.423486112,2174,24.25963051,1288668.551,16.07037803,1.223437196,120271.2718,8093.267742,76.72596928,,89.51976766,99.90527136,99.90242571,42.03802322,28.72060192,28.51414903,0.72722583,14.95621754,2.74734816,2.390115788,9208.878745,2604388,550978,178435713,179158757,553854,177914767,178280408,167167692,167330964,138211,2651,463609,165099992,2457433,14689797,50729929151,1324096,11704252,17466257,1.05865E+11,68559455715,19286010634,2.89769E+12,5.08366E+11,1.37295E+13,4.62495E+11,1.37295E+13,9.61956E+11,1.84356E+11,95742907837,20324356654,37259415035,919389415,37897915,59858982605,64479620545,52703662063,213695165,266521387,252969545,329705245,52088254,58186315,,,0,32779223,32779223,73671029960,12114008475,9.78666E+11,23245311626,0,4115814799,1691258,871186,11390716,661536,2041518,47481770890,32439799389,32206611720,821398524,1.64453E+11,1.25968E+11,47964492,60886514,119699946,296148277,901224679,2029395276,4337221637,4100260956,5227641408,5931230637,5186081828,5469063866,5164624317,4146848253,2755212503,,96.50880836,98.42985793,544967,213487,1848057,541946,213313,1816462,3737,334020,550585,213486,1882159,544961,213486,1848044,840877,834837,,,,1400,11257,5501,21174,,5574,,4880,11990,11875,217507,4020,3987,217300,4043,217529,4020,217506,,0,0,0,0,0.829758702,0.496397009,-116.3659616,12.26695762,2.204011087,0.420370029,0.471575965,5360.35898,18341.54861,15707.70351,1509.609784,17217.31329,
4/1/2020,2,53696,98.10164271,99.66926411,99.83470162,0.069622941,0.026220575,0.026108384,3.368328354,18.21882998,2.775253048,11.83945072,0.81134911,9.724041804,1534,20.98447004,1114621.796,15.88473767,1.289245449,91427.45808,6783.178831,77.59773431,,90.79345564,99.91930801,99.9149119,42.63753762,27.20673785,29.32922991,0.826494626,20.68844361,2.052014339,2.114935168,6746.995891,3080738,531162,171151396,171806995,517382,170789076,171071855,160409940,160546546,110413,1819,343627,158817692,2038421,9684249,36924093699,1012185,7956476,12059474,80520666475,48072186990,14271823271,2.10711E+12,3.66115E+11,1.35751E+13,3.76744E+11,1.35751E+13,7.31219E+11,1.45063E+11,49508666363,21767349116,26828585692,790878844,37688769,46032787880,54020681584,41901006233,200904941,244749066,236833703,305206982,47761309,52604352,,,0,32592301,32592301,53975967124,9442013193,7.44071E+11,15859950416,0,2152600494,523969,911577,11183783,568547,1704372,34037529372,21719128038,23413512604,659790332,94459940772,88617911640,35308919,37863740,71019645,165775757,514851243,1234718443,2969295762,2834604387,3769369546,4498685528,4102598144,4475673083,4371355394,3690892507,2518454014,,96.19373794,98.50339388,416803,118283,1468406,414778,118176,1443282,2612,295850,421089,118292,1500353,416812,118282,1468369,672797,668315,,,,873,8706,4230,14512,,3904,,3315,15173,15047,122180,3897,3860,122036,4027,122319,3897,122179,,0,0,0,0,0.857501641,0.54289374,-116.8206269,12.6206022,2.333739648,0.448113431,0.486328898,3585.287114,10348.62083,11418.92437,1179.869775,12598.79415,
4/1/2020,3,53666,98.1104876,99.75140767,99.90156984,0.056866309,0.027168091,0.026594322,3.294498171,13.42572701,2.356260453,15.51254198,0.961129057,9.984388631,1751,18.93610283,1006155.573,15.63993775,1.309111199,70208.22778,5717.8253,78.64435078,,90.5421773,99.92175039,99.92788306,43.67025362,25.60124542,29.83094615,0.897554812,25.480346,1.538095964,1.796290587,4878.16517,2883656,425602,168375051,168951646,444739,168162798,168328484,146808212,146914162,88738,1419,279574,156416772,1845682,7537058,27734780129,1309456,6139648,8991176,61802320223,35266217408,10704579445,1.5523E+12,2.70483E+11,1.35768E+13,3.19905E+11,1.35768E+13,5.6147E+11,1.15883E+11,28724289031,20871872845,21715994011,717697328,37901005,35899736483,45509751028,34763854324,196178262,232851368,228963218,291137527,46337125,51177392,,,99,32765459,32765459,39025321363,7174767115,5.71399E+11,10840413236,0,1250004778,1374735,5901307,11157652,563929,1694526,25288066024,14824873474,17274159716,519745673,55217239790,62445984294,28543081,27844934,47440893,101470672,317104382,812902270,2158269103,2114547165,2922893048,3653774537,3453825117,3888092529,3906095083,3437930410,2399562485,,96.47373396,98.74317506,365525,76705,1314353,363758,76651,1292206,2128,273037,368389,76705,1339430,365526,76703,1314345,581905,577980,,,,706,8955,3722,11360,,3887,,3306,20564,20445,80710,4005,3988,80639,4240,80945,4005,80708,,0,0,0,0,0.880644344,0.583714828,-117.2027221,12.83079171,2.432179155,0.470554158,0.498163315,2948.679989,7094.841667,9260.701087,1072.889267,10333.59035,
4/1/2020,4,53722,98.33514814,99.66241426,99.81903351,0.063874174,0.029816177,0.026826541,3.307435393,11.87080732,2.322458687,17.09300822,1.010303046,10.07386792,1450,18.99879996,1010649.551,15.8736123,1.344581131,63635.95277,5559.327254,78.53824194,,90.35992886,99.92101868,99.92201653,44.22048258,25.09274732,29.85291045,0.833859648,28.15892068,1.597926126,1.934643797,4093.369294,2696614,500421,173846768,174561426,577243,173411145,173725530,162993266,163120473,102972,1456,332870,161248162,1909145,7485476,25097933351,754677,5351806,8706655,55203405028,29577449359,8942714171,1.37891E+12,2.42613E+11,1.36598E+13,3.17243E+11,1.36598E+13,5.08886E+11,1.05188E+11,23617737821,22357730446,22129726856,722576552,38032747,32058636872,44238332698,32901199982,201249591,236285337,235956924,300435709,48441516,53609511,,,0,32892731,32892731,32746954349,6131046110,5.17559E+11,9052492765,0,945203424,2325260,4594847,11197753,595718,1755739,22131371629,12558363990,14940720153,417328276,51227333415,63652102444,27761498,26485040,43402331,88182426,271442740,714886040,1976993172,1962085053,2749908746,3492030694,3341468500,3802080729,3852042898,3441669670,2430776424,,96.32599898,98.78713696,384834,80628,1454532,382738,80569,1429606,2433,294519,387425,80632,1484180,384822,80629,1454578,619615,615870,,,,788,8943,4108,14931,,4360,,3690,20979,20833,86509,5881,5830,86399,6286,86918,5881,86510,,0,0,0,0,0.888411851,0.597707705,-117.3251816,12.727125,2.465440301,0.471462888,0.500606864,3369.043408,7516.011111,9128.933558,1104.180987,10233.11455,
4/1/2020,5,53713,98.5623016,99.80347407,99.94562859,0.086095537,0.037600734,0.031172217,3.602196991,19.04929994,3.496927064,9.968710026,0.784951655,9.652482758,1532,24.16712101,1285389.226,16.66399747,1.407389029,95131.91666,7987.609127,78.36192372,,90.02062166,99.92224199,99.93547598,43.25853554,27.54650983,28.61609463,0.578860003,21.16096972,2.375034114,2.391110723,5267.197401,2278286,479451,195232457,195996664,612280,195082847,195188974,184131873,184250759,156880,1809,396506,181368143,2552686,14729551,39158843975,1149719,9172643,14794726,80550121905,43106574726,11966745527,2.20271E+12,3.96067E+11,1.36424E+13,4.77064E+11,1.36424E+13,7.60824E+11,1.45505E+11,61725025924,32240033602,41072635982,918341705,37999632,45656728271,63622795327,45206260689,231728817,278077688,272802908,348131969,60448653,67149784,,,0,32878358,32878358,42137579210,7170877962,7.72906E+11,12569561207,0,1652414880,3124779,4859045,11205665,860854,2635610,33580746149,21383811134,22214108677,449357579,1.08436E+11,1.08093E+11,43317382,49345556,96144096,213404284,636618033,1497741353,3456540078,3322903908,4329148452,5099224234,4600159772,4998840887,4825480495,4079374027,2799009998,,97.29351059,98.89212841,705031,301582,2905122,701511,301286,2862003,5586,488615,709385,301595,2941733,705046,301594,2905236,1067972,1061444,,,,1255,14920,7788,37600,,10302,,8857,23465,23252,308918,7336,7214,308500,7852,309447,7337,308931,,0,0,0,0,0.850349015,0.531943238,-116.8147762,11.89299831,2.325802945,0.424901663,0.481938734,7597.098723,13797.92778,14547.13342,1725.205974,16272.3394,
4/1/2020,6,53742,98.50319175,99.67250722,99.88125107,0.112975339,0.041648157,0.038874203,4.011502313,25.61855842,4.482020527,6.075725539,0.523550072,9.342447555,3218,31.74996827,1689002.761,15.86695483,1.351328355,119244.2087,9906.42544,77.67574642,,89.12019139,99.86743161,99.92347492,44.68239039,28.33726238,26.56109684,0.419250394,15.1383951,3.494312107,2.917405513,6492.652238,2381720,486449,226929398,228055177,824543,226481409,226750673,214347206,214511361,239568,2907,570130,210432732,3623624,22582609,54199766897,557555,15811008,23562649,1.02679E+11,67175670021,16745763752,2.98153E+12,5.47949E+11,1.37771E+13,6.17491E+11,1.37771E+13,9.53673E+11,1.79247E+11,1.27462E+11,34503431143,65902829537,1205163581,37957946,60104318875,78915598035,58398536313,281156703,335805487,329481057,424174948,81644206,91611345,,,113752,32841265,32841265,51941217903,8604742206,9.69377E+11,15914049392,0,2862686263,3239079,7324546,11435705,1232213,3924631,49068512679,31118910744,29168392860,460404940,2.10023E+11,1.70372E+11,71158449,92103523,190110593,431585297,1229877678,2690379556,5512259623,5264513683,6561175087,7340031211,6346221560,6679824402,6226804079,5040882965,3363815325,,97.14869924,98.85221632,1197573,633140,5385092,1191945,632508,5307621,10392,743603,1205814,633160,5463543,1197602,633147,5385234,1760689,1749758,,,,2104,25597,15832,94947,,22715,,19394,28765,28518,642856,9626,9590,642188,10056,643306,9626,642863,,0,0,0,0,0.820874095,0.484873563,-116.0769571,11.36491033,2.143611109,0.398695587,0.469509738,15894.89072,26289.60278,18997.64042,2382.123995,21379.76442,
4/1/2020,7,53703,98.40367805,99.75225717,99.93367967,0.138071757,0.044350559,0.043988327,4.274782845,31.03413525,5.419157597,4.73143811,0.443291451,9.168121433,2427,37.89410452,2017127.367,15.49094895,1.390126155,139456.3855,12008.41497,76.61073215,,88.24804901,99.90761256,99.9107621,44.91901688,28.76052855,25.92395525,0.39649931,11.90361383,4.297653052,3.298727764,7991.330852,2577017,480345,250426959,251656144,997608,250200606,250366650,236887222,237098804,323869,3765,715967,232074054,4502534,30179576,68017612164,652078,21669761,31317090,1.21885E+11,92081065765,21540524772,3.60573E+12,6.68825E+11,1.37737E+13,7.46419E+11,1.37737E+13,1.11533E+12,2.10243E+11,1.91292E+11,39313818669,88686164783,1438317233,37956227,71998882312,95688443248,68834359306,320074216,378876505,373260933,487217551,100842995,114272209,,,9602,32832867,32832867,63930646814,10577428806,1.13469E+12,20153000412,0,4482102558,2046027,4373419,11425367,1607521,5112661,62288088452,39881512788,35948106836,549815775,3.09426E+11,2.27066E+11,97445729,134170269,280163681,643788125,1798400978,3794739187,7282849125,7001822601,8549424341,9294565772,7847996715,8102474175,7388042583,5801368946,3799647659,,97.30777314,98.71224188,1573170,860663,7773409,1565585,859799,7665240,13653,971262,1586014,860688,7877452,1573175,860665,7773544,2283134,2267554,,,,2602,32205,26597,155695,,34582,,29422,36366,36021,875512,13603,13586,874631,14059,875993,13603,875514,,0,0,0,0,0.804620401,0.458659872,-115.4330122,11.06385362,2.004813389,0.387645466,0.461808691,21649.95699,36148.86389,21823.85722,2783.808581,24607.6658,
4/1/2020,8,53702,98.41903601,99.72687094,99.9231697,0.16524436,0.048923858,0.047988997,4.491434757,35.23148677,6.505362212,3.870025769,0.406005673,9.074935179,2360,43.05646227,2289998.661,15.00912533,1.472650364,154663.9315,14570.49644,76.76275386,,88.11565174,99.90236916,99.90108458,45.01982154,28.90299534,25.66363752,0.413545604,9.458808716,5.078799581,3.682777945,9484.295753,2542202,489815,264459142,265869966,1152378,264127508,264330594,250034935,250282503,408980,4965,873515,244391388,5239865,40029262,81779482231,1356985,26557515,39032139,1.39437E+11,1.24656E+11,27754082336,4.09652E+12,7.62582E+11,1.37919E+13,8.97214E+11,1.37919E+13,1.23697E+12,2.43446E+11,2.56722E+11,46830092370,1.15343E+11,1636276587,38003043,82414223534,1.16156E+11,78875754860,346042142,407562391,403231925,525296325,113948609,129317104,,,1356,32875038,32875038,75874366026,13453444183,1.26006E+12,24147077724,10216,6599237147,3738383,1693151,11443272,1856166,6099562,74821477742,48035837292,42652130060,687299331,4.18565E+11,2.90482E+11,116569245,170090626,354185925,826115548,2291670993,4767502581,8846822983,8543504844,10358698224,11080325639,9230146146,9414192126,8491554388,6521595770,4225635805,,97.32453744,98.96015871,1857248,1026720,9022197,1848840,1025606,8894889,15518,1083194,1868265,1026760,9139527,1857246,1026718,9022312,2658011,2638490,,,,2671,36701,31818,190296,,39132,,33377,42882,42441,1043693,15381,15364,1042562,15863,1044215,15380,1043690,,0,0,0,0,0.796184408,0.444436199,-114.8932831,10.79479248,1.892420954,0.385232986,0.457341359,24228.98204,44946.57917,23831.94645,3234.000628,27065.94707,
4/1/2020,9,53632,98.38477046,99.70865629,99.92716426,0.185541003,0.050622686,0.050295563,4.66551757,38.30582921,7.287579091,3.396499668,0.39370345,9.006275297,2492,45.72936205,2431096.87,14.84822951,1.544696301,165687.703,16475.24706,76.69914361,,87.52010574,99.89562318,99.88559017,44.95365908,29.09736364,25.52622045,0.42275683,7.969269564,5.692708129,3.940715186,10503.60356,2626215,467229,268060136,269399837,1059616,267752969,267948131,252952486,253242220,464881,5584,979718,246825072,5759108,46313280,91440890554,1447477,30226857,44575129,1.51527E+11,1.48431E+11,31814427146,4.44607E+12,8.2885E+11,1.37705E+13,1.00354E+12,1.37705E+13,1.32515E+12,2.65061E+11,3.12111E+11,52561864175,1.33506E+11,1735740295,37956801,89245996351,1.31383E+11,85054178991,356587020,419100834,414290833,540150533,119027644,136000343,,,928,32843933,32843933,84028828466,15204786744,1.35078E+12,26906919248,48759,8636179410,3832658,1932973,11434499,2027943,6649441,83509907545,54053845612,47419773014,785350614,5.08051E+11,3.35174E+11,130662579,197997047,411685379,966768929,2659821904,5457795524,9859237337,9579279167,11541839774,12213368256,10073989920,10191337540,9105295444,6885739023,4424647414,,97.17656675,98.99227059,2021045,1119249,10026383,2011126,1117966,9884638,17026,1179417,2031595,1119293,10171839,2021041,1119248,10026389,2823190,2803010,,,,3845,41480,36524,225427,,44253,,37743,46694,46271,1138274,17383,17363,1136971,17782,1138717,17383,1138273,,0,0,0,0,0.789924429,0.434164797,-114.5751178,10.63247634,1.817255251,0.382580272,0.453950457,27099.74896,53854.88056,24699.81681,3496.891423,28196.70824,
